Name,Vorname,Partei,ListeNr,svy_q2,svy_q3,svy_q4,Patriotismus,Zuwanderung,Umwelt,Energie,Wirtschaft,Sozialwerke,Familie,Gesundheit,Gleichstellung,Landwirtschaft,Verkehr,Bildung,Schwerpunkt
Amsler,Josef,Mitte,04g,Als Ingenieur und Berater bei kommunalen Aufgaben und Projekten sind für mich nachhaltige Lösungen zentral. Die Zeit für die Bewirtschaftung der verschiedenen Themen auf politischer Ebene und die Verdrängung der dringenden Probleme muss ein Ende haben.,"Es braucht für die Schweiz gegen innen (etwa bei den Sozialwerken) wie auch gegen aussen (etwa gegenüber der EU und bei der Neutralität) dringend klare, verbindliche und nachhaltige Lösungen. Dies ist meine Überzeugung und dafür engagiere ich mich.","Ich möchte mich nicht ausschliesslich für den Kanton, sondern für die Schweiz als Ganzes, und vor allem für die Menschen, die Natur und damit für unsere Zukunft engagieren.",1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Hunziker,Oliver,Mitte,04h,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Siegrist-Ineichen,Maya,Mitte,04h,Ich war lange Jahre bei der BDP und kandidierte 2013 für den grossen Rat. An diese Zeiten möchte ich anknüpfen.,Besseres Gesunheitswesen! Weiter: gerechte Steuern für die Verheirateten und besseren Klimaschutz (Strom allein reicht nicht für alle Resourcen).,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kohler,Cécile,Mitte,04h,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Arnold,Christian,Mitte,04h,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Gross,Beatus,Mitte,04h,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Costa-Seiler,Ramona,Mitte,04h,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Casanova,Claudia,Mitte,04h,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Brauchart,Heinz,Mitte,04h,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Labhart,Denise,Mitte,04h,"Als berufstätige Mutter dreier Kinder ist ist mir die Vereinbarkeit von Beruf und Familie ein grosses Anliegen. Ich setze mich für starke Wirtschaftsstandorte, attraktive  Arbeitsplätze, faire Steuern und eine nachhaltige Umweltpolitik ein.","Die Reform unserer Altersvorsorge und eine nachhaltige Umweltpolitik sind aus meiner Sicht die dringendsten Themen, die angegangen werden müssen, neben der Stärkung unserer Wirtschaftsstandorte und Lösungen für den Fachkräftemangel.","Für den Kanton Aargau setze ich mich für einen starken Wirtschaftsstandort mit attraktiven  Arbeitsplätzen und guten familienergänzenden Kinderbetreuungsangeboten, wie auch faire Steuern, ein.",0.0,1.0,0.0,0.0,10.0,1.0,6.0,0.0,1.0,0.0,0.0,1.0,Wirtschaft
