Name,Vorname,Partei,ListeNr,svy_q2,svy_q3,svy_q4,Patriotismus,Zuwanderung,Umwelt,Energie,Wirtschaft,Sozialwerke,Familie,Gesundheit,Gleichstellung,Landwirtschaft,Verkehr,Bildung,Schwerpunkt
Stricker,Martina,GLP,06g,"An Politik war ich schon in meiner Jugendzeit interessiert und war als Pressesprecherin einer politischen Jugendorganisation aktiv.  Zwei Themenbereiche liegen mir besonders am Herzen: Gesundheit und Bildung, hier möchte ich meine Erfahrungen und Ideen einbringen.","In der Wirtschaft: den Fach- und (Führungskräfte-) Mangel mit weiterer Digitalisierung und der Künstliche Intelligenz (KI) im Idealfall «schlau» zu kombinieren. In der Politik: Die wichtigen Beziehungen zur EU regeln, den wichtigen Grundsatz der Neutralität auf heutige «Krisentauglichkeit» überprüfen.",Aufmerksamkeit. Mit engagierten Politikern und Politkerinnen wollen wir für Kompetenz und innovative Konzepte in allen Themenfeldern stehen. Mit Transparenz und offener Kommunikation die Schweiz zukunftsgerichtet und -sicher aufstellen und damit natürlich auch zum Wohl unseres Heimatkantons beitragen.,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"Zuwanderung, Patriotismus"
Aegerter,Emanuel,GLP,06g,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Meier,Evelin,GLP,06g,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Müller,Christian,GLP,06g,"Ich war 20 Jahre in der FDP Solothurn aktiv. Nach dem Umzug in den Bezirk Rheinfelden habe ich mich für die GLP entschieden, da sie meinen politischen Vorstellungen und Zielen am ehesten entspricht.","Energie + Umwelt, Gesellschaftliche Entwicklung, Integration in Europa","Stärkung der grünliberalen Position mit Bezug auf Energie, Umwelt, Europa - Politik und gesellschaftspolitische Entwicklung (Integration, Bildung, Gesundheit etc.)",0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"Energie, Zuwanderung"
Pusceddu,Tabea,GLP,06g,"Ich träume von einer Welt, in der es allen Menschen gut geht und wir im Einklang mit der Natur leben, ohne sie zu zerstören. Da Träume nur durch Handeln Realität werden können, setze ich mich aktiv dafür ein. Durch die Politik kann ich meinen Teil dazu beitragen, darum kandidiere ich nun für den NR.","Einen nachhaltigen Klima- und Umweltschutz sehe ich als eine der grössten Herausforderungen, welche es in den nächsten Jahren zwingend zu bewältigen gilt. Wir als Schweiz haben die Chance, in dieser Thematik vorbildlich voranzugehen, indem wir Innovationen vorantreiben und kreative Lösungen fördern.",Die psychische Gesundheit von Jugendlichen im Kanton Aargau ist beunruhigend. Darum strebe ich nach einer verstärkten Förderung von Präventionsmassnahmen und einem verbessertem Zugang zu psychologischer Betreuung. Eine gesunde Jugend ist die Basis für eine nachhaltige und erfolgreiche Gesellschaft.,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Wirtschaft
Schär,André,GLP,06g,"Ich versuche Lebenserfahrungen einzubringen, also Erfahrungen aus verschiedenen Lebensabschnitten, und diese wiederum an den Wandel der Zeit anzupassen.",Die Preisspirale beschränkt die Lebensqualität vieler Menschen und muss gebremst werden. Wir müssen den folgenden Generationen eine intakte Umwelt hinterlassen - ohne Auflagen an die aktuelle Generation geht es leider nicht. Sicherheit für Arbeitsplätze wie Wohnraum fördern.,"Mehr Umweltschutz, Lärmschutz und Begrünung im öffentlichen Raum. Sicherheit + Qualität für Fussgänger + Velo. Bessere Anbindungen im öffentlichen Verkehr. Bessere Voraussetzungen beim Individualverkehr für Mitfahrgelegenheiten.  Bsp. Sammelparkplätze bei Autobahnauffahrten, P+R bei Bahnhöfen.",2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,"Verkehr, Umwelt, Patriotismus"
Flach,Angélique,GLP,06g,Für mich sind alle Menschen eine Bereicherung und daher setze ich mich für die Inklusion von Menschen mit und ohne Beeinträchtigung ein.,"Nebst Klimaveränderungen sehe ich die grösste Herausforderung im Zusammenleben und integrieren mit den Menschen verschiedener Herkunft. Dies benötigt Toleranz, Zulassen von Neuem und loslassen von alten Strukturen.","Nur für den Kanton denken ist mir zu einseitig. Die Schweiz ist ein Teil von Europa und eine gute Vernetzung und Zusammenarbeit mit Europa bringt der Schweiz und dem Kanton Aargau am meisten. Wirtschaftlich, Sozial und Kulturell!",0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zuwanderung
Bianchi,Reto,GLP,06g,Ich möchte die Interessen und Anliegen der Menschen in meiner Region vertreten. Sozial Grünliberale Politik und mein Wissen und Fachlichkeit im Bereich Öffentliche Sicherheit (40 Jahre Feuerwehrdienst/Instruktor/ Ausbildner FEUKOS CH) und grosse Erfahrung als Jugendarbeiter einbringen.,"Europäische Integration Klimawandel und Nachhaltigkeit Soziale Gerechtigkeit Digitalisierung und Technologie Migration und Integration Diese Herausforderungen erfordern eine aktive und konstruktive politische Gestaltung, um die Zukunft der Schweiz zu gestalten.","Zusammen mit den anderen Politiker*innen Lösungen für eine moderne, umweltbewusste, nachhaltige, europäische offene Schweiz zu entwickeln.",1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Umwelt, Zuwanderung"
Mudie,Nadia,GLP,06g,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mörgeli,Emanuel,GLP,06g,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
