Name,Vorname,Partei,ListeNr,svy_q2,svy_q3,svy_q4,Patriotismus,Zuwanderung,Umwelt,Energie,Wirtschaft,Sozialwerke,Familie,Gesundheit,Gleichstellung,Landwirtschaft,Verkehr,Bildung,Schwerpunkt
Barp,Miro,SVP,01a,"Im Beruf sehe ich, dass das Gesundheitswesen im argen liegt, weil die Politik zu praxisfern ist. Bei meiner Vereinsarbeit erlebe ich, dass immer weniger Leute bereit sind, sich ehrenamtlich zu engagieren, so dass der Milizgedanke verdunstet. Ich kämpfe für unsere Werte und die Anliegen der Bürger.","Ohne Kurskorrektur steuern wir einer 10-Mio.-Schweiz entgegen. Dabei sind wir schon heute nicht in der Lage, die Bevölkerung weder medizinisch noch energetisch zu versorgen, sowie alle Kinder optimal zu unterrichten. Für dies ist die stete Zuwanderung nicht die Lösung, sondern die Ursache der Probleme.","Ich will, dass der Aargau als viertgrösster Kanton und als Energieversorger der Schweiz wahrgenommen wird. Er muss eine führende Rolle bei wichtigen Dossiers übernehmen. Dabei will ich die freiheitliche, vom Milizgedanken geprägte Tradition unseres Kantons als Maxime in die Bundespolitik einbringen.",1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,
Borer-Mathys,Barbara,SVP,01a,"Mein Motto ist: «Nicht träumen – machen!». Ich will mich einbringen und in der Partei, in der Gemeinde, dem Kanton und mit Weitblick auch auf Bundesebene mitarbeiten. Man kann nicht nur nehmen und muss auch etwas geben. Dazu gehört meine uneingeschränkte Unterstützung der bürgerlichen Politik.","An erster Stelle steht die Begrenzung der Zuwanderung. Damit verbunden gilt es auch unsere Werte zu bewahren und zu schützen. Für uns alle stehen auf dem Weg in eine gute Zukunft viele Reformen an: Altersvorsorge, Gesundheitswesen, Bildung, Digitalisierung, wirtschaftliches Umfeld und vieles andere.","Parlament und Verwaltung müssen effizienter, sachbezogener und schneller werden. Parteiliches Machtgehabe darf nicht über dem qualitativen Lösungsprozess stehen. Die Werte der direkten Demokratie sind zu schützen. Neutralität, Eigenständigkeit und Föderalismus stehen über allem.",2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,Patriotismus
Burger,Nicole,SVP,01a,"Die letzten Jahre haben mich aufgerüttelt. Planwirtschaftliche Klimapolitik, Corona-Einschränkungen, der auf Notrecht basierende CS-Deal – unsere Demokratie und unsere Freiheiten werden immer mehr eingeschränkt. Mein wichtigstes politisches Ziel ist es, dieser Entwicklung Einhalt zu gebieten.","Die Schweiz steht mit ihren bewährten Werten wie Neutralität, Demokratie und Rechtstaatlichkeit unter Druck. Zu denken ist etwa an die geplante institutionelle Einbindung in die EU. Die Politik muss die Kraft haben, dem entgegenzuhalten, um den Erfolg unseres Landes langfristig zu sichern.","Unser politisches System basiert u.a. auf Föderalismus. Wichtig ist, dass die Kantone ihre eigenständige Aufgabenerfüllung bewahren können. Der Kanton Aargau ist stark im Wettbewerb mit anderen Kantonen und muss seine zahlreichen Vorteile weiterhin ausspielen können. Dafür will ich mich einsetzen.",4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Patriotismus
Gosteli,Patrick,SVP,01a,"Ich bin seit 2006 Gemeinderat, seit 2010 Gemeindeammann und seit 2008 Grossrat. Mit meinem politischen Engagement will ich einen Beitrag zum Erhalt und zur Verbesserung der Rahmenbedingungen für unsere Gesellschaft und Wirtschaft leisten, damit unser Wohlstand auch in Zukunft gewährleistet ist.","40'000 Staustunden pro Jahr lähmen den Verkehr auf unseren Strassen. Verspätungen führen zu horrenden Kosten (3 Mrd. jährlich), welche das Gewerbe/der Konsument zu tragen haben. Ich will mich gegen den drohenden Kollaps wehren und mich für einen rollenden Verkehr auf Strasse und Schiene einsetzen.","Dass der Aargau als zentrale Energieproduktions-Region wahrgenommen und die Wichtigkeit der Fluss- und der Kernkraftwerke für eine stabile, unabhängige Stromversorgung sowie erfolgreiche Energiewende anerkannt wird. Dass der Verkehr zwischen Zürich und Bern fliesst und nicht zum Stauraum mutiert.",0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,"Verkehr, Energie"
Gut,Philipp,SVP,01a,"Im Zentrum meiner Politik stehen die Bürgerinnen und Bürger, also auch Sie. Wir brauchen Volksvertreter, die die Anliegen und Sorgen der Bevölkerung kennen, ernst nehmen und ihr eine Stimme geben. Ich kämpfe für mehr Freiheit und weniger Bevormundung in einer sicheren und erfolgreichen Schweiz.",- Zuwanderung endlich souverän steuern - Asylmissbrauch verhindern - Energieversorgung sichern - Freiheit und Grundrechte wahren - Eigenständigkeit der Schweiz stärken - Wohlstand erhalten durch optimale Bedingungen für Unternehmen  - Private Haushalte entlasten durch tiefere Steuern/Abgaben,"- Mehr Freiheit und weniger Bevormundung für die Bürgerinnen und Bürger  - Stärkung des Aargaus als Energie, Wissens- und Wirtschaftsstandorts - Ausbau der überlasteten Infrastruktur (weniger Staus!)  - Reduktion der Asyltouristen, Schutz und Sicherheit für die ansässige Bevölkerung",5.0,3.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Patriotismus
Jäggi,Rolf,SVP,01a,"Für mich ist es ein grosses Privileg, wenn ich die Heimat, die Schweiz, mitgestalten darf. Das mache ich mit Stolz aber auch mit grosser Verantwortung und Demut! Ich setze mich für eine freie, neutrale und unabhängige Schweiz ein sowie für eine bürgerliche und unternehmerfreundliche Politik!","Die grössten Herausforderungen der Schweiz sind das Sicherstellen der Renten und die Bekämpfung der Altersarmut. Zweitens muss für den sozialen Frieden die Zuwanderung kontrolliert werden, denn Integrationspolitik ist auch Sicherheitspolitik. Wir müssen uns wieder mehr um unsere eigene Bevölkerung kümmern und uns für diese einsetzen!",Im Bundesparlament setze ich mich für die Interessen und Anliegen der Aargauer Bevölkerung und Unternehmen ein. Sei es mit guten Anschlüssen im öffentlichen Verkehr oder im Ausbau des nationalen Strassennetzes. National darf der Aargau als Energiekanton seine Rolle selbstbewusster wahrnehmen!,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,Patriotismus
Liebi,Markus Adrian,Junge_SVP,01b,"Mit der direkten Demokratie haben wir in der Schweiz ein einzigartiges und erfolgbringendes System. Dieses lebt auch davon, dass sich Personen für Wahlen zur Verfügung stellen. Ned nor lafere, sondern au lifere.","Die Sicherheit zu gewährleisten wird in den kommenden Jahren unsere Herausforderung sein. Mein Schwerpunkt liegt neben der Landesverteidigung bei der Energiesicherheit. Der Ausbau von erneuerbaren Energien ist marktwirtschaftlich auszugestalten, neue Kernkraftwerke sollen in Angriff genommen werden.","Mehr gesunder Menschenverstand, weniger Bürokratie. Das habe ich mir auf die Fahne geschrieben. Zudem bin ich überzeugt, dass Probleme auf möglichst tiefer Ebene gelöst werden sollen. Deshalb setze ich mich dafür ein, dass nicht noch mehr Gesetze und Regulierungen dies verhindern.",2.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Energie
Blülle,Benjamin,Junge_SVP,01b,"Die Jungen werden in Zukunft die Politik machen. Leider gibt es, heutzutage noch zu wenig Jungpolitiker, die für eine freie und unabhängige Schweiz einstehen. Das ist einer meiner Hauptmotivationspunkte, warum ich mich dazu entschieden habe, in der Politik etwas bewegen zu wollen.","Überlastung in unserem Land durch den enormen Bevölkerungswachstum entgegenwirken, sowie die Selbstversorgungssicherheit gewährleisten, um frei und unabhängig sein zu können.",Die Gemeinden von den Sozialhilfeausgaben entlasten.,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Patriotismus
Stutz,Joel,Junge_SVP,01b,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Schmid,Svenja,Junge_SVP,01b,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
