Name,Vorname,Partei,ListeNr,svy_q2,svy_q3,svy_q4,Patriotismus,Zuwanderung,Umwelt,Energie,Wirtschaft,Sozialwerke,Familie,Gesundheit,Gleichstellung,Landwirtschaft,Verkehr,Bildung,Schwerpunkt
Nater,Noemi,Junge_EVP,07b,"Was mich motiviert, ein Engagement in der Politik zu tätigen, ist die gemeinsame Lösungsfindung, trotz unterschiedlicher Meinungen. Ich mag es, wenn verschiedene Haltungen zusammenkommen, lösungsorientiert diskutiert wird und gemeinsam Kompromisse gefunden werden.","Eine der grössten Herausforderungen für die Schweiz wird in den nächsten Jahren die Frage der Energieversorgung sein. Es ist wichtig, dass über diese Problematik früh diskutiert wird, damit sich die Schweiz bestmöglich vorbereiten kann. Der Einsatz von erneuerbaren Energien ist dabei unentbehrlich,","Ich möchte die Anliegen der EVP, wie auch die Interessen meiner Mitmenschen vertreten. Besonders für eine nachhaltige Politik, welche Menschen über Profit stellt, werde ich mich einsetzen.",0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Energie
Hostettler,Simon,Junge_EVP,07b,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aglil,Jasmin,Junge_EVP,07b,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Fuchs,Jonny,Junge_EVP,07b,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Meier,Miriam,Junge_EVP,07b,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
von Ehrenberg-Stauffer,Sarah Marina,Junge_EVP,07c,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Schibli,Jonathan,Junge_EVP,07c,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Süess,Joya,Junge_EVP,07c,"In der Schweizer Demokratie hat jeder die Möglichkeit sich einzubringen und unsere Zukunft mitzugestalten. Das ist ein Recht mit Verantwortung. Welche Werte werden wie Gewichtet.....Lösungen zu diskutieren, entwickeln und Taten folgen zu lassen. Daran will ich mich beteiligen.","Pflegenotstand: Das Pflegesystem muss grundlegend überarbeitet werden, so dass es zukünftig menschenwürdig ist. Für Pflegeempfangende sowie Pflegekräfte und weitere betroffene Gruppen.",,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Patriotismus
Amsler,Nathanael,Junge_EVP,07c,"Ich trete ein für Steuergerechtigkeit, eine zahlbare Gesundheitsversorgung und eine faire Migrationspolitik. Auch wichtig ist mir ein leistungsfähiges Mobilitätskonzept, das sowohl den öV als auch den MIV miteinbezieht.","Der Ausstieg aus der Atomkraft und Lieferengpässe bedrohen unsere Energieversorgung. Ohne Energie steht die Schweiz faktisch still. Die Politik muss dafür sorgen, dass genügend Pflichtlager vorhanden sind und bereits im Vorfeld entscheiden, wie bei Engpässen vorzugehen ist.",Als Kandidat für den Nationalrat verpflichte ich mich der Schweizer Bevölkerung und möchte für das Wohl meiner Mitbürger sorgen.,1.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Energie
Renold,Amber-Louise,Junge_EVP,07c,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
